code,mun,municipio,poblacion,p2005
cjj0,397,Heroica Ciudad de Tlaxiaco,38453,32537
aky6,398,Ayoquezco de Aldama,4406,3749
kqn7,399,Santa María Atzompa,27465,23494
zr38,400,Santa María Camotlán,1632,1373
ne89,401,Santa María Colotepec,22562,19089
lcm3,402,Santa María Cortijo,1083,875
wyp8,403,Santa María Coyotepec,2772,2340
fyq7,404,Santa María Chachoápam,766,675
mn44,405,Villa de Chilapa de Díaz,1932,1608
yoo0,406,Santa María Chilchotla,20584,18085
xl07,407,Santa María Chimalapa,8506,6230
rlh2,408,Santa María del Rosario,480,395
tba7,409,Santa María del Tule,8165,7142
fme2,410,Santa María Ecatepec,3461,3011
llw5,411,Santa María Guelacé,816,711
bc95,412,Santa María Guienagati,3286,2808
szp1,413,Santa María Huatulco,38629,31825
qm86,414,Santa María Huazolotitlán,10794,9237
tg61,415,Santa María Ipalapa,4888,4233
deo7,416,Santa María Ixcatlán,516,480
md86,417,Santa María Jacatepec,9240,8036
gf22,418,Santa María Jalapa del Marqués,11888,10137
pz91,419,Santa María Jaltianguis,575,494
al97,420,Santa María Lachixío,1680,1464
hsu7,421,Santa María Mixtequilla,4442,3872
cph4,422,Santa María Nativitas,681,582
kz97,423,Santa María Nduayaco,550,486
hpt9,424,Santa María Ozolotepec,3992,3535
rtu1,425,Santa María Pápalo,2209,1968
wtw5,426,Santa María Peñoles,7865,6736
ttb7,427,Santa María Petapa,15387,13384
zl07,428,Santa María Quiegolani,1770,1532
erm8,429,Santa María Sola,1524,1337
ic60,430,Santa María Tataltepec,253,220
bgc5,431,Santa María Tecomavaca,1774,1545
dl59,432,Santa María Temaxcalapa,968,863
qgv2,433,Santa María Temaxcaltepec,2595,2135
qgx0,434,Santa María Teopoxco,4651,3827
sk37,435,Santa María Tepantlali,3505,3038
ti99,436,Santa María Texcatitlán,1113,1001
jpl0,437,Santa María Tlahuitoltepec,9663,8367
ut52,438,Santa María Tlalixtac,1754,1508
tk72,439,Santa María Tonameca,24318,20892
kka6,440,Santa María Totolapilla,896,813
pki0,441,Santa María Xadani,7781,6565
ww44,442,Santa María Yalina,354,317
vwq7,443,Santa María Yavesía,448,375
jjg8,444,Santa María Yolotepec,461,371
we42,445,Santa María Yosoyúa,1642,1424
sqd0,446,Santa María Yucuhiti,6551,5646
zb85,447,Santa María Zacatepec,15076,12907
lzd4,448,Santa María Zaniza,2009,1669
nl16,449,Santa María Zoquitlán,3359,2959
jre5,450,Santiago Amoltepec,12313,10088
dp79,451,Santiago Apoala,1053,943
hr45,452,Santiago Apóstol,4220,3763
hmd5,453,Santiago Astata,3915,3416
pak2,454,Santiago Atitlán,3180,2866
ygr7,455,Santiago Ayuquililla,2748,2339
mdy9,456,Santiago Cacaloxtepec,1686,1402
xx78,457,Santiago Camotlán,3395,3027
jzk3,458,Santiago Comaltepec,1115,1003
wls0,459,Santiago Chazumba,4479,3697
ry89,460,Santiago Choápam,5413,4653
izy6,461,Santiago del Río,614,524
njt0,462,Santiago Huajolotitlán,4350,3650
nu13,463,Santiago Huauclilla,663,606
kx99,464,Santiago Ihuitlán Plumas,480,385
djg3,465,Santiago Ixcuintepec,1568,1372
jp74,466,Santiago Ixtayutla,11917,10444
wlw0,467,Santiago Jamiltepec,18383,15871
jcx8,468,Santiago Jocotepec,13568,11492
aa79,469,Santiago Juxtlahuaca,32927,26888
vl45,470,Santiago Lachiguiri,4693,4285
hkq0,471,Santiago Lalopa,496,437
dyz3,472,Santiago Laollaga,3198,2794
ne36,473,Santiago Laxopa,1394,1223
vg38,474,Santiago Llano Grande,3260,2710
cdw3,475,Santiago Matatlán,9653,8206
ly57,476,Santiago Miltepec,409,353
nsg6,477,Santiago Minas,1430,1304
hki0,478,Santiago Nacaltepec,1913,1714
af73,479,Santiago Nejapilla,219,199
oy69,480,Santiago Nundiche,967,839
hrs3,481,Santiago Nuyoó,1966,1772
ahy1,482,Santiago Pinotepa Nacional,50309,42752
ikc0,483,Santiago Suchilquitongo,9542,8411
nq35,484,Santiago Tamazola,4207,3576
